date,city,supermarket,branch,category,name,product_id,price
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Picaña Especial kg,414069,69.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Carne Molida de Segunda,835267,49.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Bollo Grande Especial 1 kg,835247,72.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Cuadril Especial kg,835439,69.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pollerita Pura Carne 1 kg,835445,50.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Chuleta de Lomo kg,835509,61.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Bollo Chico Especial 1 kg,835212,71.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Corte Español 1 kg,835623,55.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Tira de Res Primer Corte kg,835549,50.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Filete Especial / Lomito kg,835468,90.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pecho 1 kg,835430,50.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Punta de S Especial 1 kg,835404,75.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Jiba 1 kg,835410,49.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Costilla Especial kg,835896,53.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Cuadrada Especial kg,835435,64.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Milanesa de Carne Hipermaxi kg,088536,55.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Tira de Res kg,835534,43.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Queperi Especial kg,835414,54.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Osobuco 1 kg,835514,43.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pollo Entero Pio Rico kg,641051,18.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Hamburguesa Hipermaxi kg,152994,46.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pechuga de Pollo Pio Rico Bandeja Kg,641037,41.9
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Silpancho Hipermaxi kg,112255,48.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Rapi kg,835470,49.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Carne Picada Kg,835905,60.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pechuga sin Piel Pio Rico Bandeja kg,672511,34.4
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Muslo de Pollo Pio Rico Bandeja kg,641031,31.0
