Connections,Num Followers,Internacional,lenght headline,Headline en Esp?,Tiene Summary?,calidad longitud,Calidad Headline,_ID,Tiene Projects?,Tiene Certif?,tiene Courses?,Tiene Volunteer?,Tiene Lastest Exp?,Cluster connections,Categoría School Name,Categoría Degree
432,435,0,17,1,0,0,1,319,0,0,0,0,1,3,3,2
440,446,1,44,1,0,0,1,301,0,1,0,0,1,3,3,2
454,461,0,72,1,1,0,1,308,0,0,0,0,1,3,3,2
575,575,1,48,1,0,0,1,767,0,0,0,0,1,3,3,2
547,543,0,2,1,0,0,1,810,0,0,0,0,1,3,3,2
535,540,1,36,1,0,0,1,840,0,0,0,0,1,3,3,2
560,569,1,46,1,1,0,1,756,0,1,0,0,1,3,3,2
560,569,1,46,1,1,0,1,790,0,1,0,0,1,3,3,2
586,594,1,42,1,1,0,1,807,0,1,0,0,1,3,3,2
460,460,1,38,1,1,0,1,263,0,0,0,0,1,3,3,2
547,547,0,41,1,1,0,1,801,0,0,0,0,1,3,3,2
426,428,1,58,1,1,0,1,79,0,0,0,0,1,3,3,2
589,589,0,81,1,0,0,1,763,0,1,0,0,1,3,3,2
465,463,1,53,1,0,0,1,96,0,0,0,0,1,3,3,2
546,561,1,32,1,0,0,1,766,0,0,0,0,1,3,3,2
562,564,1,55,1,1,0,1,782,0,0,0,0,1,3,3,2
440,453,0,13,1,1,0,1,1482,0,1,0,0,1,3,3,2
415,416,1,48,1,1,0,1,1490,0,0,0,0,1,3,3,2
413,415,1,88,1,0,0,1,1505,0,0,0,0,1,3,3,2
401,409,1,34,1,0,0,1,1527,0,1,0,0,1,3,3,2
600,611,1,62,1,0,0,1,1563,0,1,0,0,1,3,3,2
590,596,1,96,1,1,0,1,1578,0,1,0,0,1,3,3,2
591,591,1,83,1,1,0,1,1597,0,0,0,0,1,3,3,2
586,587,1,57,1,1,0,1,1598,0,1,0,0,1,3,3,2
570,580,1,74,1,1,0,1,1610,0,0,0,0,1,3,3,2
554,627,0,89,1,1,0,1,1616,0,1,0,0,1,3,3,2
566,568,1,82,1,1,0,1,1640,0,0,0,0,1,3,3,2
401,403,1,37,1,1,0,1,1671,0,0,0,0,1,3,3,2
585,584,1,22,1,1,0,1,1678,0,0,0,0,1,3,3,2
406,406,0,41,1,1,0,1,1720,0,0,0,0,1,3,3,2
512,524,1,58,1,1,0,1,1951,0,0,0,0,1,3,3,2
513,511,1,90,1,1,0,1,1959,0,1,0,0,1,3,3,2
506,512,0,90,1,1,0,1,1968,0,1,0,0,1,3,3,2
487,497,0,14,1,1,0,1,1975,0,1,0,0,1,3,3,2
498,499,0,34,1,0,0,1,1979,0,0,0,0,1,3,3,2
528,529,1,25,1,0,0,1,1983,0,0,0,0,1,3,3,2
483,488,0,69,1,1,0,1,1992,0,1,0,0,1,3,3,2
476,509,0,67,1,1,0,1,2007,0,1,0,0,1,3,3,2
487,485,0,98,1,1,0,1,2054,0,1,0,0,1,3,3,2
472,472,1,53,1,1,0,1,2061,0,1,0,0,1,3,3,2
460,463,0,14,1,0,0,1,2089,0,0,0,0,1,3,3,2
453,464,1,88,1,0,0,1,2092,0,1,0,0,1,3,3,2
463,466,0,41,1,1,0,1,2095,0,0,0,0,1,3,3,2
455,456,0,8,1,0,0,1,2106,0,0,0,0,1,3,3,2
456,456,1,34,1,1,0,1,2110,0,0,0,0,1,3,3,2
485,485,0,13,1,1,0,1,2133,0,0,0,0,1,3,3,2
552,553,1,27,1,1,0,1,2159,0,0,0,0,1,3,3,2
526,529,1,93,1,1,0,1,2166,0,0,0,0,1,3,3,2
556,555,0,65,1,1,0,1,2167,0,1,0,0,1,3,3,2
523,525,0,70,1,1,0,1,2175,0,0,0,0,1,3,3,2
516,523,0,38,1,0,0,1,2189,0,1,0,0,1,3,3,2
515,513,1,31,1,0,0,1,2195,0,0,0,0,1,3,3,2
513,516,0,48,1,1,0,1,2202,0,1,0,0,1,3,3,2
505,512,1,41,1,1,0,1,2218,0,1,0,0,1,3,3,2
500,,1,0,1,0,0,1,2275,0,0,0,0,1,3,3,2
481,491,0,44,1,0,0,1,2295,0,0,0,0,1,3,3,2
464,463,0,51,1,0,0,1,2557,0,1,0,0,1,3,3,2
461,458,1,32,1,0,0,1,2566,0,0,0,0,1,3,3,2
465,465,0,23,1,0,0,1,2573,0,1,0,0,1,3,3,2
443,467,1,65,1,1,0,1,2577,0,0,0,0,1,3,3,2
444,498,1,74,1,1,0,1,2578,0,1,0,0,1,3,3,2
427,460,0,31,1,1,0,1,2586,0,1,0,0,1,3,3,2
440,449,0,63,1,1,0,1,2587,0,1,0,0,1,3,3,2
450,450,1,39,1,0,0,1,2592,0,1,0,0,1,3,3,2
438,440,1,43,1,1,0,1,2620,0,0,0,0,1,3,3,2
429,439,1,34,1,1,0,1,2638,0,1,0,0,1,3,3,2
539,540,0,13,1,1,0,1,2764,0,1,0,0,1,3,3,2
435,443,1,40,1,1,0,1,333,0,1,1,0,1,3,3,2
524,559,1,69,1,1,0,1,774,0,1,1,0,1,3,3,2
450,443,1,80,1,0,0,1,274,0,0,1,0,1,3,3,2
416,419,1,98,1,1,0,1,1499,0,0,1,0,1,3,3,2
432,433,1,42,1,1,0,1,1533,0,1,1,0,1,3,3,2
594,611,0,85,1,1,0,1,1561,0,1,1,0,1,3,3,2
593,600,1,53,1,0,0,1,1609,0,1,1,0,1,3,3,2
587,588,1,26,1,1,0,1,1617,0,0,1,0,1,3,3,2
566,571,0,68,1,0,0,1,1641,0,0,1,0,1,3,3,2
483,481,0,33,1,0,0,1,2049,0,1,1,0,1,3,3,2
467,469,0,38,1,1,0,1,2077,0,0,1,0,1,3,3,2
541,537,1,71,1,1,0,1,2152,0,0,1,0,1,3,3,2
505,509,1,47,1,1,0,1,2222,0,0,1,0,1,3,3,2
453,452,1,14,1,0,0,1,2582,0,0,1,0,1,3,3,2
455,456,0,37,1,0,0,1,2611,0,0,1,0,1,3,3,2
433,431,1,32,1,0,0,1,341,0,1,0,0,0,3,3,2
450,448,0,10,1,1,0,1,277,0,0,0,0,0,3,3,2
424,430,1,55,1,1,0,1,325,0,1,0,0,0,3,3,2
560,563,1,39,1,1,0,1,760,0,0,0,0,0,3,3,2
413,416,0,14,1,0,0,1,1470,0,0,0,0,0,3,3,2
420,419,1,5,1,0,0,1,1474,0,1,0,0,0,3,3,2
516,534,1,72,1,1,0,1,1517,0,1,0,0,0,3,3,2
403,402,1,49,1,0,0,1,1547,0,1,0,0,0,3,3,2
573,855,1,54,1,1,0,1,1768,0,0,0,0,0,3,3,2
493,493,1,33,1,1,0,1,1972,0,0,1,0,0,3,3,2
560,556,1,25,1,1,0,1,2036,0,0,0,0,0,3,3,2
479,503,0,24,1,1,0,1,2108,0,1,1,0,0,3,3,2
456,454,1,29,1,1,0,1,2124,0,1,1,0,0,3,3,2
549,588,1,64,1,1,0,1,2204,0,1,0,0,0,3,3,2
409,415,1,53,1,0,0,1,2514,0,0,0,0,0,3,3,2
467,467,0,18,1,0,0,1,2547,0,0,0,0,0,3,3,2
457,462,1,43,1,1,0,1,2558,0,0,0,0,0,3,3,2
550,548,1,36,1,0,0,1,2758,0,0,1,0,0,3,3,2
512,566,0,61,1,1,0,1,752,0,1,0,1,1,3,3,2
426,426,0,32,1,1,0,1,334,0,1,0,1,1,3,3,2
553,557,0,98,1,1,0,1,795,0,1,0,1,1,3,3,2
474,473,0,36,1,0,0,1,259,0,1,1,1,0,3,3,2
553,554,1,73,1,1,0,1,800,0,0,0,1,1,3,3,2
500,1327,1,0,1,0,0,1,1299,0,0,1,1,1,3,3,2
574,573,0,53,1,1,0,1,1628,0,0,0,1,1,3,3,2
462,469,1,60,1,1,0,1,1664,0,1,0,1,1,3,3,2
495,508,1,79,1,1,0,1,1952,0,1,0,1,1,3,3,2
493,499,1,56,1,1,0,1,1990,0,1,0,1,1,3,3,2
491,493,1,35,1,1,0,1,2015,0,1,0,1,1,3,3,2
558,562,1,38,1,0,0,1,2072,0,0,0,1,1,3,3,2
550,550,1,71,1,1,0,1,2158,0,1,0,1,1,3,3,2
548,552,1,52,1,0,0,1,2171,0,1,0,1,1,3,3,2
526,524,1,25,1,1,0,1,2203,0,0,0,1,1,3,3,2
466,466,1,48,1,1,0,1,2551,0,0,0,1,1,3,3,2
568,567,1,86,1,0,0,1,2555,0,1,0,1,0,3,3,2
451,459,1,54,1,1,0,1,2567,0,1,0,1,1,3,3,2
551,563,1,17,1,1,0,1,2751,0,0,1,1,1,3,3,2
422,460,0,122,0,0,1,1,256,0,0,0,0,1,3,3,2
581,661,1,185,0,1,1,1,383,0,1,0,1,1,3,3,2
592,601,0,166,0,1,1,1,1550,0,1,0,0,1,3,3,2
583,583,0,108,0,1,1,1,1634,0,0,0,1,1,3,3,2
532,542,1,197,0,0,1,1,1965,0,1,0,0,1,3,3,2
513,520,1,220,0,1,1,1,1969,0,0,0,0,1,3,3,2
524,522,0,142,0,0,1,1,2006,0,1,1,1,1,3,3,2
504,503,0,160,0,1,1,1,2034,0,0,0,0,1,3,3,2
474,473,0,101,0,0,1,1,2060,0,0,0,0,1,3,3,2
470,470,0,119,0,1,1,1,2069,0,1,0,0,0,3,3,2
579,579,1,126,0,1,1,1,2075,0,0,0,1,1,3,3,2
520,809,0,171,0,1,1,1,2332,0,1,0,0,1,3,3,2
452,454,0,118,0,0,1,1,2585,0,0,0,0,1,3,3,2
424,447,0,114,0,0,1,1,2637,0,0,0,0,1,3,3,2
318,318,0,114,0,1,1,1,622,0,1,0,0,0,2,3,2
1252,1252,1,76,1,1,0,1,967,0,0,0,0,0,7,3,2
1077,1084,1,56,1,1,0,1,165,0,1,0,0,0,6,3,2
631,651,0,61,1,1,0,1,373,0,1,0,0,0,4,3,2
4164,4157,1,83,1,1,0,1,672,0,0,0,1,0,7,3,2
1123,1131,0,32,1,1,0,1,1027,0,0,0,0,0,6,3,2
865,863,1,62,1,0,0,1,503,0,0,1,0,0,5,3,2
644,645,0,64,1,1,0,1,366,0,1,0,0,0,4,3,2
987,986,0,25,1,0,0,1,248,0,0,0,0,0,5,3,2
364,366,1,92,1,0,0,1,619,0,0,0,0,0,2,3,2
306,307,1,87,1,0,0,1,633,0,0,0,0,0,2,3,2
605,604,1,80,1,1,0,1,755,0,1,0,0,0,4,3,2
305,306,1,43,1,1,0,1,637,0,1,0,0,0,2,3,2
399,401,0,70,1,1,0,1,1185,0,1,0,0,0,2,3,2
2352,2345,1,39,1,1,0,1,1360,0,1,1,1,0,7,3,2
605,604,0,80,1,1,0,1,1452,0,1,0,0,0,4,3,2
1478,1537,0,138,0,1,1,1,1923,0,1,0,0,0,7,3,2
865,863,1,62,1,0,0,1,2265,0,0,1,0,0,5,3,2
3006,2992,1,35,1,1,0,1,2322,0,1,1,1,0,7,3,2
776,777,1,77,1,0,0,1,2330,0,1,1,1,0,4,3,2
828,828,1,92,1,1,0,1,2362,0,0,1,0,0,5,3,2
706,706,1,33,1,1,0,1,2385,0,0,0,0,0,4,3,2
689,684,1,33,1,1,0,1,2438,0,0,0,0,0,4,3,2
324,323,1,16,1,0,0,1,2522,0,0,0,0,0,2,3,2
389,394,0,53,1,1,0,1,2542,0,1,0,0,0,2,3,2
923,926,1,97,1,1,0,1,2696,0,1,0,1,0,5,3,2
923,926,1,97,1,1,0,1,2704,0,1,0,0,0,5,3,2
678,782,0,78,1,0,0,1,2787,0,1,0,0,0,4,3,2
1108,1111,1,34,1,1,0,1,2826,0,0,0,0,0,6,3,2
1054,1062,1,50,1,1,0,1,2842,0,1,1,1,0,6,3,2
976,1006,1,117,0,1,1,1,2880,0,1,0,0,0,5,3,2
642,657,0,101,0,0,1,1,398,0,0,0,0,1,4,3,2
29806,29864,1,168,0,1,1,1,3,0,1,0,1,1,7,3,2
3566,3564,1,213,0,1,1,1,694,0,1,0,1,1,7,3,2
1027,1100,0,212,0,1,1,1,230,0,1,0,0,1,6,3,2
1027,1100,0,212,0,1,1,1,1141,0,1,0,0,1,6,3,2
5543,5595,0,201,0,1,1,1,660,0,1,1,1,1,7,3,2
365,384,0,212,0,1,1,1,62,0,0,0,0,1,2,3,2
634,634,0,102,0,1,1,1,390,0,0,0,0,1,4,3,2
882,881,1,125,0,1,1,1,471,0,1,0,1,1,5,3,2
741,864,1,194,0,1,1,1,509,0,1,1,0,1,4,3,2
1147,1255,0,109,0,1,1,1,1006,0,1,0,0,1,6,3,2
1200,1252,0,128,0,1,1,1,1023,0,0,1,1,1,6,3,2
978,1304,0,212,0,1,1,1,1318,0,0,0,0,1,5,3,2
2372,2393,1,114,0,1,1,1,1406,0,1,0,0,1,7,3,2
668,694,0,132,0,1,1,1,1599,0,0,1,0,1,4,3,2
648,659,0,218,0,1,1,1,1629,0,0,0,0,1,4,3,2
398,397,0,189,0,1,1,1,1675,0,0,0,0,1,2,3,2
380,381,0,104,0,1,1,1,1738,0,0,0,0,1,2,3,2
777,775,1,135,0,1,1,1,1800,0,0,0,0,1,4,3,2
826,842,0,120,0,1,1,1,1801,0,1,0,1,1,5,3,2
759,761,1,103,0,1,1,1,1813,0,1,0,1,1,4,3,2
1549,1682,1,159,0,1,1,1,1932,0,1,0,0,1,7,3,2
715,721,1,107,0,1,1,1,2267,0,0,0,0,1,4,3,2
716,718,0,108,0,1,1,1,2379,0,0,0,0,1,4,3,2
716,710,1,108,0,1,1,1,2389,0,1,0,0,1,4,3,2
354,356,0,131,0,1,1,1,2499,0,0,0,0,1,2,3,2
685,866,0,114,0,1,1,1,2639,0,0,0,0,1,4,3,2
851,859,0,219,0,1,1,1,2723,0,0,0,0,1,5,3,2
991,1091,0,156,0,1,1,1,2821,0,1,0,0,1,5,3,2
960,1116,0,100,0,1,1,1,2824,0,1,0,0,1,5,3,2
1112,1111,0,100,0,1,1,1,2873,0,0,0,0,1,6,3,2
964,995,0,144,0,1,1,1,2896,0,1,1,0,1,5,3,2
311,309,0,25,1,1,0,1,620,0,0,0,0,1,2,3,2
1082,1083,1,35,1,0,0,1,163,0,0,0,0,1,6,3,2
686,698,1,32,1,1,0,1,352,0,0,0,1,1,4,3,2
891,896,1,76,1,1,0,1,518,0,1,0,1,1,5,3,2
996,1099,1,72,1,1,0,1,245,0,1,0,1,1,5,3,2
1092,1092,0,38,1,1,0,1,456,0,0,0,0,1,6,3,2
603,607,1,41,1,0,0,1,441,0,0,0,0,1,4,3,2
988,986,1,19,1,0,0,1,247,0,0,1,1,1,5,3,2
694,693,0,36,1,1,0,1,388,0,1,0,0,1,4,3,2
804,869,1,17,1,1,0,1,488,0,1,0,0,1,5,3,2
624,625,1,31,1,1,0,1,401,0,0,0,0,1,4,3,2
