nombre,url,precio,producto_id
MAS+ BY MESSI BERRY COPA CRUSH 500 ML,/cochabamba/hipermaxi-juan-de-la-rosa/producto/629750/mas-by-messi-berry-copa-crush-500-ml,Bs. 24.90,629750
MAS+ BY MESSI LIMON LIME LEAGUE 500 ML,/cochabamba/hipermaxi-juan-de-la-rosa/producto/629749/mas-by-messi-limon-lime-league-500-ml,Bs. 24.90,629749
MAS+ BY MESSI ORANGE D OR 500ML,/cochabamba/hipermaxi-juan-de-la-rosa/producto/629751/mas-by-messi-orange-d-or-500ml,Bs. 24.90,629751
Gaseosa Coca Cola Two Pack 3 L,/cochabamba/hipermaxi-juan-de-la-rosa/producto/658233/gaseosa-coca-cola-two-pack-3-l,Bs. 30.00,658233
Hielo en Cubos Hipermaxi 1.5 kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/658434/hielo-en-cubos-hipermaxi-15-kg,Bs. 5.50,658434
Gaseosa Coca Cola 3 L,/cochabamba/hipermaxi-juan-de-la-rosa/producto/333470/gaseosa-coca-cola-3-l,Bs. 16.00,333470
Cerveza Corona Botella 330 ml,/cochabamba/hipermaxi-juan-de-la-rosa/producto/037345/cerveza-corona-botella-330-ml,Bs. 13.00,037345
Gaseosa Pepsi Black 3 L,/cochabamba/hipermaxi-juan-de-la-rosa/producto/551230/gaseosa-pepsi-black-3-l,Bs. 10.50,551230
Singani Casa Real Etiqueta Negra 1 L,/cochabamba/hipermaxi-juan-de-la-rosa/producto/003744/singani-casa-real-etiqueta-negra-1-l,Bs. 88.00,003744
Cerveza Paceña Roja 440 ml,/cochabamba/hipermaxi-juan-de-la-rosa/producto/552152/cerveza-pacena-roja-440-ml,Bs. 9.00,552152
Agua Vital Sin Gas 6 L,/cochabamba/hipermaxi-juan-de-la-rosa/producto/006788/agua-vital-sin-gas-6-l,Bs. 19.50,006788
Cerveza Paceña Roja 330 ml,/cochabamba/hipermaxi-juan-de-la-rosa/producto/552058/cerveza-pacena-roja-330-ml,Bs. 7.50,552058
Gaseosa Coca Cola Sin Azucar 3 L,/cochabamba/hipermaxi-juan-de-la-rosa/producto/658126/gaseosa-coca-cola-sin-azucar-3-l,Bs. 16.00,658126
Cerveza Paulaner Lemon Radler 500 ml,/cochabamba/hipermaxi-juan-de-la-rosa/producto/120045/cerveza-paulaner-lemon-radler-500-ml,Bs. 27.50,120045
Two Pack Gaseosa Coca Cola + Fanta 3 L,/cochabamba/hipermaxi-juan-de-la-rosa/producto/550110/two-pack-gaseosa-coca-cola-fanta-3-l,Bs. 29.00,550110
Cerveza Huari 440 ml,/cochabamba/hipermaxi-juan-de-la-rosa/producto/552712/cerveza-huari-440-ml,Bs. 10.00,552712
Singani Casa Real Etiqueta Negra 750 ml,/cochabamba/hipermaxi-juan-de-la-rosa/producto/090018/singani-casa-real-etiqueta-negra-750-ml,Bs. 77.90,090018
Pack Isotonico Powerade 990 ml,/cochabamba/hipermaxi-juan-de-la-rosa/producto/673080/pack-isotonico-powerade-990-ml,Bs. 16.90,673080
Fernet Branca 1 L,/cochabamba/hipermaxi-juan-de-la-rosa/producto/351155/fernet-branca-1-l,Bs. 124.00,351155
Agua Vital Sin Gas 3 L,/cochabamba/hipermaxi-juan-de-la-rosa/producto/215787/agua-vital-sin-gas-3-l,Bs. 8.00,215787
Whisky Johnnie Walker Blue Label 750 ml,/cochabamba/hipermaxi-juan-de-la-rosa/producto/793148/whisky-johnnie-walker-blue-label-750-ml,"Bs. 2,890.00",793148
Gaseosa Coca Cola 500 ml,/cochabamba/hipermaxi-juan-de-la-rosa/producto/303615/gaseosa-coca-cola-500-ml,Bs. 5.00,303615
Vino Aranjuez Terruño Tinto 700 ml,/cochabamba/hipermaxi-juan-de-la-rosa/producto/839343/vino-aranjuez-terruno-tinto-700-ml,Bs. 24.50,839343
Singani Casa Real Don Lucho 750 ml,/cochabamba/hipermaxi-juan-de-la-rosa/producto/038297/singani-casa-real-don-lucho-750-ml,Bs. 169.90,038297
Jugo Del Valle Manzana Six Pack 200 ml,/cochabamba/hipermaxi-juan-de-la-rosa/producto/014190/jugo-del-valle-manzana-six-pack-200-ml,Bs. 15.00,014190
Cerveza Potosina 473 ml,/cochabamba/hipermaxi-juan-de-la-rosa/producto/658518/cerveza-potosina-473-ml,Bs. 10.00,658518
Gaseosa Seven Up 3 L,/cochabamba/hipermaxi-juan-de-la-rosa/producto/618795/gaseosa-seven-up-3-l,Bs. 12.00,618795
Gaseosa Coca Cola 2 L,/cochabamba/hipermaxi-juan-de-la-rosa/producto/228028/gaseosa-coca-cola-2-l,Bs. 12.00,228028
Gaseosa Dr Pepper USA 12 Oz,/cochabamba/hipermaxi-juan-de-la-rosa/producto/456225/gaseosa-dr-pepper-usa-12-oz,Bs. 14.90,456225
Fernet Branca 750 ml,/cochabamba/hipermaxi-juan-de-la-rosa/producto/143863/fernet-branca-750-ml,Bs. 99.00,143863
Vino Santa Ana Semidulce Rosado 700 ml,/cochabamba/hipermaxi-juan-de-la-rosa/producto/670057/vino-santa-ana-semidulce-rosado-700-ml,Bs. 35.00,670057
PACK 6 CERVEZA GOLDEN LTA 440 ML,/cochabamba/hipermaxi-juan-de-la-rosa/producto/553094/pack-6-cerveza-golden-lta-440-ml,Bs. 47.90,553094
Ron 37 Lenguas 1 L,/cochabamba/hipermaxi-juan-de-la-rosa/producto/029116/ron-37-lenguas-1-l,Bs. 78.00,029116
BIPACK PEPSI 2L,/cochabamba/hipermaxi-juan-de-la-rosa/producto/550185/bipack-pepsi-2l,Bs. 17.90,550185
Singani Premium La Viuda Descalza 700 ml,/cochabamba/hipermaxi-juan-de-la-rosa/producto/101415/singani-premium-la-viuda-descalza-700-ml,Bs. 129.00,101415
Gaseosa Sprite 3 L,/cochabamba/hipermaxi-juan-de-la-rosa/producto/550087/gaseosa-sprite-3-l,Bs. 16.00,550087
Whisky Johnnie Walker Black Label 1 L,/cochabamba/hipermaxi-juan-de-la-rosa/producto/075825/whisky-johnnie-walker-black-label-1-l,Bs. 419.00,075825
Cerveza Burguesa 473 ml,/cochabamba/hipermaxi-juan-de-la-rosa/producto/101865/cerveza-burguesa-473-ml,Bs. 10.00,101865
Vino Campos de Solana Tinto 700 ml,/cochabamba/hipermaxi-juan-de-la-rosa/producto/449512/vino-campos-de-solana-tinto-700-ml,Bs. 25.00,449512
Gaseosa Oriental Papaya 3 L,/cochabamba/hipermaxi-juan-de-la-rosa/producto/618796/gaseosa-oriental-papaya-3-l,Bs. 10.50,618796
Gaseosa Schweppes Gingel Ale 1.5 L,/cochabamba/hipermaxi-juan-de-la-rosa/producto/551756/gaseosa-schweppes-gingel-ale-15-l,Bs. 9.00,551756
Cerveza Amstel Lager 473 ml,/cochabamba/hipermaxi-juan-de-la-rosa/producto/030237/cerveza-amstel-lager-473-ml,Bs. 9.00,030237
Agua Vital Con Gas 600 ml,/cochabamba/hipermaxi-juan-de-la-rosa/producto/423890/agua-vital-con-gas-600-ml,Bs. 4.50,423890
Cerveza Paceña Huari Botella 330 Cc,/cochabamba/hipermaxi-juan-de-la-rosa/producto/725833/cerveza-pacena-huari-botella-330-cc,Bs. 12.00,725833
Nectar Pura Vida Manzana 3 L,/cochabamba/hipermaxi-juan-de-la-rosa/producto/017002/nectar-pura-vida-manzana-3-l,Bs. 18.50,017002
