nombre,url,precio,producto_id
Picaña Especial kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/414069/picana-especial-kg,Bs. 69.00,414069
Carne Molida de Segunda,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835267/carne-molida-de-segunda,Bs. 49.00,835267
Bollo Grande Especial 1 kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835247/bollo-grande-especial-1-kg,Bs. 72.00,835247
Cuadril Especial kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835439/cuadril-especial-kg,Bs. 69.00,835439
Pollerita Pura Carne 1 kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835445/pollerita-pura-carne-1-kg,Bs. 50.00,835445
Chuleta de Lomo kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835509/chuleta-de-lomo-kg,Bs. 61.00,835509
Bollo Chico Especial 1 kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835212/bollo-chico-especial-1-kg,Bs. 71.00,835212
Tira de Res Primer Corte kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835549/tira-de-res-primer-corte-kg,Bs. 50.00,835549
Pecho 1 kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835430/pecho-1-kg,Bs. 50.00,835430
Corte Español 1 kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835623/corte-espanol-1-kg,Bs. 55.00,835623
Filete Especial / Lomito kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835468/filete-especial-lomito-kg,Bs. 90.00,835468
Jiba 1 kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835410/jiba-1-kg,Bs. 49.00,835410
Punta de S Especial 1 kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835404/punta-de-s-especial-1-kg,Bs. 75.00,835404
Cuadrada Especial kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835435/cuadrada-especial-kg,Bs. 64.00,835435
Tira de Res kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835534/tira-de-res-kg,Bs. 43.00,835534
Milanesa de Carne Hipermaxi kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/088536/milanesa-de-carne-hipermaxi-kg,Bs. 55.00,088536
Osobuco 1 kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835514/osobuco-1-kg,Bs. 43.00,835514
Queperi Especial kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835414/queperi-especial-kg,Bs. 54.00,835414
Pollo Entero Pio Rico kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/641051/pollo-entero-pio-rico-kg,Bs. 22.00,641051
Costilla Especial kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835896/costilla-especial-kg,Bs. 53.00,835896
Hamburguesa Hipermaxi kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/152994/hamburguesa-hipermaxi-kg,Bs. 46.00,152994
Pollo Especial Pio Rico kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/671898/pollo-especial-pio-rico-kg,Bs. 24.00,671898
Pechuga de Pollo Pio Rico Bandeja Kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/641037/pechuga-de-pollo-pio-rico-bandeja-kg,Bs. 44.00,641037
Silpancho Hipermaxi kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/112255/silpancho-hipermaxi-kg,Bs. 48.00,112255
Rapi kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835470/rapi-kg,Bs. 49.00,835470
Carne Picada Kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835905/carne-picada-kg,Bs. 60.00,835905
Muslo de Pollo Pio Rico Bandeja kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/641031/muslo-de-pollo-pio-rico-bandeja-kg,Bs. 32.50,641031
Pierna Muslo Pio Rico Bandeja kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/671896/pierna-muslo-pio-rico-bandeja-kg,Bs. 32.50,671896
